title,album,lyrics
"​thank u, next","thank u, next","[Verse 1]
Thought I'd end up with Sean
But he wasn't a match
Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete, I'm so thankful
Wish I could say, ""Thank you"" to Malcolm
'Cause he was an angel

[Pre-Chorus]
One taught me love
One taught me patience
And one taught me pain
Now, I'm so amazing
Say I've loved and I've lost
But that's not what I see
So, look what I got
Look what you taught me
And for that, I say

[Chorus]
Thank you, next (Next)
Thank you, next (Next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (Next)
Thank you, next (Next)
Thank you, next (Next)
I'm so fuckin'—

[Verse 2]
Spend more time with my friends
I ain't worried 'bout nothin'
Plus, I met someone else
We havin' better discussions
I know they say I move on too fast
But this one gon' last
'Cause her name is Ari
And I'm so good with that (So good with that)

[Pre-Chorus]
She taught me love (Love)
She taught me patience (Patience)
How she handles pain (Pain)
That shit's amazing (Yeah, she's amazing)
I've loved and I've lost (Yeah, yeah)
But that's not what I see (Yeah, yeah)
'Cause look what I've found (Yeah, yeah)
Ain't no need for searching, and for that, I say

[Chorus]
Thank you, next (Thank you, next)
Thank you, next (Thank you, next)
Thank you, next (Thank you)
I'm so fuckin' grateful for my ex
Thank you, next (Thank you, next)
Thank you, next (Said thank you, next)
Thank you, next (Next)
I'm so fuckin' grateful for my ex

[Post-Chorus]
Thank you, next
Thank you, next
Thank you, next
I'm so fucking—

[Bridge]
One day I'll walk down the aisle
Holding hands with my mama
I'll be thanking my dad
'Cause she grew from the drama
Only wanna do it once, real bad
Gon' make that shit last
God forbid something happens
Least this song is a smash (Song is a smash)

[Pre-Chorus]
I've got so much love (Love)
Got so much patience (Patience)
I've learned from the pain (Pain)
I turned out amazing (Turned out amazing)
Say I've loved and I've lost (Yeah, yeah)
But that's not what I see (Yeah, yeah)
'Cause look what I've found (Yeah, yeah)
Ain't no need for searching
And for that, I say

[Chorus]
Thank you, next (Thank you, next)
Thank you, next (Thank you, next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (Thank you, next)
Thank you, next (Said thank you, next)
Thank you, next (Next)
I'm so fuckin' grateful for my ex

[Post-Chorus]
Thank you, next
Thank you, next
Thank you, next
Yeah, yee
Thank you, next
Thank you, next
Thank you, next
Yeah, yee"
"Thank u, next (Jennifer Coolidge and Ariana Grande conversation)",,"-thank u, next instrumental-

Ariana:
I mean, he was really cute, you know?
He was really cute.

Jennifer:
Yeah.

Ariana:
And it was, it was really big.

Jennifer:
Well, I've only gone out with one guy that had a big front tooth.
And I liked it, 'cause it, he never got anything stuck in the front teeth.
But, have you ever gone out with someone that had no teeth at all?

Ariana:
No."
​the light is coming,Sweetener,"[Intro]
You wouldn't let anybody speak and instead—
You wouldn't let anybody speak and instead—

[Verse 1: Nicki Minaj]
Ay yo, trophy wife, out you won me
Until you had to find out it's one me
Now you benched, aww, your bum knee
Now I'm the bad guy, call me Chun-Li (ooh)
'Cause you was slippin', yep, you clumsy
And everything I peeped, can't just unsee
Sips tea, and it's unsweet
Respect bad gyal when mi done speak (now, now)
Now he shooting his shot like drive-by
Why you had to make me go call up my side guy?
Ca-ca-can't let a f-boy eff up my nice vibes
Yo Ariana, come let me give you a high five!

[Chorus: Ariana Grande]
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and instead—

[Verse 2: Ariana Grande]
''What did she say?'' ''What did he say?''
You don't listen 'cause you know everything
You don't even need dreams
Tellin' everybody, ""Stay woke, don't sleep""

[Refrain: Ariana Grande]
Ah, gonna break that shit down
You don't wait, tell 'em wait another round
Ah, guess you're way above it now
And that's your way to love it now

[Pre-Chorus: Ariana Grande]
How can they tell you shit that you've been through?
They are so confused, who cares about their rationale?
If it ain't your view
That's the bottom line
Know-it-all (know-it-all)
Give you a box of chances, every time you blow it all (blow it all)
As if it were shade, you would just throw it all (throw it all)
It's like you're trying not to glow at all (glow at all)
Know-it-all (know-it-all)

[Chorus: Ariana Grande]
The light is coming to give back everything the darkness stole, stole, st-st-stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole, stole, stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole, stole, st-st-stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole, stole, stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and instead—

[Verse 3: Ariana Grande]
Why do we have chemistry?
With a need for speed
Doin' things that trouble clings to
And burns off our wings

[Refrain: Ariana Grande]
Ah, gonna break that shit down
You don't wait, tell 'em wait another round
Ah, guess you're way above it now
And that's your way to love it now

[Pre-Chorus: Ariana Grande]
How can they tell you shit that you've been through?
They are so confused, who cares about their rationale?
If it ain't your view
That's the bottom line
Know-it-all (know-it-all)
Give you a box of chances, every time you blow it all (blow it all)
As if it were shade, you would just throw it all (throw it all)
It's like you're trying not to glow at all (glow at all)
Know-it-all (know-it-all)

[Chorus: Ariana Grande]
The light is coming to give back everything the darkness stole, stole, st-st-stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole, stole, stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole, stole, st-st-stole
You wouldn't let anybody speak and instead—
The light is coming to give back everything the darkness stole
You wouldn't let anybody speak and inst—"
Them Changes (Live at BBC Radio 1 Live Lounge),,"[Verse 1]
So, nobody move, there's blood on the floor
And I can't find my heart
So where did it go? Did I leave it in the cold?
So please give it back, 'cause it's not yours to take
It must've fell when I lost my mind
So deep in the cut, drowning in a pain
Somebody help, 'cause I can't find my way
Nobody move, nobody move

[Verse 2]
So somebody tell me how I'm supposed to feel
When I'm sitting here knowing this ain't real
I've been traveling so long, I don't think I can hold on
So where were you when I needed you the most?
Why in the hell would I give my heart to you?
Just to watch you throw it in the trash
So now I'm sitting here with a black hole in my chest
A heartless, broken mess"
The Way,Yours Truly,"[Intro: Ariana Grande (Mac Miller)]
What we gotta do right here is go back
Back into time
I love the way you make me feel (Okay)
I love it, I love it (Yeah)
I love the way you make me feel
I love it (Yeah,) I love it (Yeah)

[Verse 1: Mac Miller & Ariana Grande]
Say
I’m thinkin' ’bout her every second, every hour
Do my singing in the shower, pickin' petals off of flowers like
Do she love me, do she love me not?
I ain’t a player, I just ***** * ***
You give me that kinda somethin'
Want it all the time, need it every day
On a scale of one to ten I’m at a 100
Never get enough, I can’t stay away

[Refrain 1: Ariana Grande]
If you want, I got it, I got it every day
You can get whatever you need from me
Stay by your side, I’ll never leave ya
And I ain’t going nowhere 'cause you’re a keeper

[Pre-Chorus: Ariana Grande]
So don’t you worry
Baby, you got me (Ayy)
I, I got a bad boy, must admit it (Hey)
You got my heart, don’t know how you did it (Hey)
And I don't care who sees it, babe, I don't want to hide the way
I feel when you're next to me (Hey)

[Chorus: Ariana Grande]
I love the way (You make me feel)
I love the way
I love it, I love it
Baby, I love the way (You make me feel)
Ou, I love the way, the way I love you
I love it, I love it

[Verse 2: Ariana Grande]
Ou, it's so crazy, you get my heart jumpin'
When you put your lips on mine
And honey it ain’t a question (Qu—qu—question)
Boy, I know just what you like

[Refrain 2: Ariana Grande]
If you need it, I got it, I got it every day
Be your lover, your friend, you’ll find it all in me
Stay by your side, I’ll never leave ya
Said I ain’t going nowhere 'cause you’re a keeper

[Pre-Chorus: Ariana Grande]
So don’t you worry
Baby, you got me (Ayy)
I, I got a bad boy, must admit it (Hey)
You got my heart, don’t know how you did it (Hey)
And I don't care who sees it, babe, I don't want to hide the way
I feel when you're next to me (Hey)

[Chorus: Ariana Grande]
I love the way (You make me feel)
I love the way
I love it, I love it
Baby, I love the way (You make me feel)
Ou, I love the way, the way I love you
I love it, I love it

[Verse 3: Mac Miller]
Uh
I make you feel so fine, make you feel so fine
I hope you hit me on my celly when I sneak in your mind
You a princess to the public, but a freak when it’s time
Said your bed be feelin' lonely, so you sleepin' in mine
Come and watch a movie with me, American Beauty
Or Bruce Almighty, that's groovy, just come and move closer to me
I got some feelings for ya I’m not gonna get bored of
But, baby, you an adventure so let me come and explore ya

[Pre-Chorus: Ariana Grande]
So don’t you worry (Yeah)
Baby, you got me (Woo)
I, I got a bad boy, I must admit it (Hey) (Uh-huh)
You got my heart, don’t know how you did it (Hey)
And I don't care who sees it, babe, I don't want to hide the way
I feel when you're next to me (Hey)

[Chorus: Ariana Grande]
I love the way (You make me feel,) I love the way
I love the way, I love the way
I love it, I love it
Baby, I love the way (You make me feel)
Ou, I love the way, the way I love you
I love it, I love it
I love the way (You make me feel)
I love the way, I love the way
I love it, I love it
Baby, I love the way (You make me feel)
Ou, I love the way, the way I love you

[Outro: Ariana Grande]
The way I love you
You, you, yeah, the way
I love the way you make me feel
I love it, I love it
I love the way you make me feel
I love it, the way I love you"
The Way It Is,,TBA
The Way [JdB Radio Edit],Yours Truly,"[Intro: Ariana Grande]
I love the way, you make me feel
I love it, I love it
I love the way, you make me feel
I love it, I love it

[Verse 1: Mac Miller]
Say, I’m thinking ’bout her every second, every hour
Do my singing in the shower
Picking petals off the flowers like
Do she love me, do she love me not?
I ain’t a player, I just crush a lot

[Verse 2: Ariana Grande]
You give me that kinda something
Want it all the time, need it every day
On a scale of one to ten I’m at 100
Never get enough, I can’t stay away

[Pre-Chorus: Ariana Grande]
If you want, I got it, I got it every day
You can get whatever you need from me
Stay by your side, I’ll never leave you
And I ain’t going nowhere cause you’re a keeper

[Chorus: Ariana Grande]
So don’t you worry, baby you got me
I got a bad boy, must admit it
You got my heart, don’t know how you did it
And I don't care who sees it, babe
I don't want to hide the way I feel when you're next to me
I love the way you make me feel
I love the way
(I love the way)
Baby I love the way you make me feel
I love the way, the way you love

[Verse 3: Ariana Grande]
Oh, so crazy you get my heart, jumping
When you put your lips on mine
And honey it ain’t a question, (quick question)
Cause boy I know just what you like

[Pre-Chorus: Ariana Grande]
So If you need it, I got it, I got it every day
Be your lover, your friend, you’ll find it all in me
Stay by your side, I’ll never leave you
And I ain’t going nowhere cause you’re a keeper

[Chorus: Ariana Grande]
So don’t you worry, baby you got me
I got a bad boy, must admit it
You got my heart, don’t know how you did it
And I don't care who sees it, babe
I don't want to hide the way I feel when you're next to me
I love the way you make me feel
I love the way
(I love the way)
Baby I love the way you make me feel
I love the way, the way you love

[Verse 4: Mac Miller]
Uh, I make it feel so fine, I make it feel so fine
I hope you hit me on my celly when I sneak in your mind
You’re a princess to the public, but a freak when it’s time
Said your bed be feeling lonely, so you’re sleeping in mine
You come and watch a movie with me
“American Beauty” or “Bruce Almighty” that groovy
Just come and move closer to me
I got some feelings for you, I’m not gon’ get bored of
But baby you’re an adventure so let me come and explore you

[Chorus/Outro: Ariana Grande]
So don’t you worry, baby you got me
I got a bad boy, must admit it
You got my heart, don’t know how you did it
And I don’t care this is it babe
I don’t want another way to feel you next to me
I love the way you make me feel
I love the way
(I love the way)
I love the way
Baby I love the way you make me feel
I love the way, the way I love you
The way I love you
The way I love you
The way I love you uh, uh uh yeah
I love the way you make me feel
I love it, I love it
I love the way you make me feel
I love it, I love it
The way I love you"
The Way (Sidney Samson Remix),The Remix,"[Verse]
You give me that kinda something
Want it all the time, need it every day (day, day, day...)
On a scale of one to ten I’m at 100
Never get enough, I can’t stay away (-way, -way, -way...)

[Pre-Drop]
If you want, I got it, I got it every day
You can get whatever you need from me
Stay by your side, I’ll never leave ya
And I ain’t going nowhere, 'cause you’re a keeper
(Ke-ke-keeper...)

[Instrumental Drop]

[Verse]
You give me that kinda something
Want it all the time, need it every day (day, day, day...)
Scale of one to ten I’m at 100
Never get enough, I can’t stay away (-way, -way, -way...)

[Pre-Drop]
If you want, I got it, I got it every day
You can get whatever you need from me
Stay by your side, I’ll never leave ya
And I ain’t going nowhere, 'cause you’re a keeper
(Ke-ke-keeper...)

[Instrumental Drop]"
The Way (Spanglish Version),Yours Truly,"[Intro: Ariana Grande]
I love the way you make me feel
I love it, I love it
Tú eres todo para mí
Te amo, I love it

[Verse 1: Mac Miller]
Say, I’m thinking ’bout her every second, every hour
Do my singing in the shower
Picking petals off the flowers like
Do she love me, do she love me not?
I ain’t a player, I just...

[Ariana Grande]
You give me that kinda something
Want it all the time, need it every day
On a scale of one to ten, I’m at 100
Never get enough, I can’t stay away

[Pre-Chorus: Ariana Grande]
If you want, I got it, I got it every day
You can get whatever you need from me
Stay by your side, I’ll never leave you
And I ain’t going nowhere cause you’re a keeper

[Chorus: Ariana Grande]
So don't you worry, te necesito
I got a bad boy, must admit it
You got my heart, don’t know how you did it
And I don't care who sees it, babe
I don't want to hide the way I feel when you're next to me
I love the way you make me feel
I love the way
(I love the way)
No se vivir (tú eres todo para mí) ooo no se vivir (te amo, I love it)
The way I love you

[Verse 2: Ariana Grande]
Oh, estoy loca
No no no no puedo ya dejarte de pensar
Y tú me llevas hasta el cielo (el cielo)
Con tu modo de hablar
Dame un beso, mi amor, y acariciame
Llevame al cielo, enamorame
Baby, yo quiero (estar contigo)
No te vayas, escucha lo que digo

[Chorus: Ariana Grande]
So don't you worry, te necesito
I got a bad boy, must admit it
You got my heart, don’t know how you did it
And I don't care who sees it, babe
I don't want to hide the way I feel when you're next to me
I love the way you make me feel
I love the way
(I love the way)
No se vivir (tú eres todo para mí) ooo no se vivir (te amo, I love it)
No se vivir, no

[Verse 3: Mac Miller]
Uh, I make it feel so fine, I make it feel so fine
I hope you hit me on my celly when I sneak in your mind
You’re a princess to the public, but a freak when it’s time
Said your bed be feeling lonely, so you’re sleeping in mine
You come and watch a movie with me
“American Beauty” or “Bruce Almighty” that groovy
Just come and move closer to me
I got some feelings for you, I’m not gon’ get bored of
But baby you’re an adventure so let me come and explore ya

[Chorus: Ariana Grande]
So don't you worry, te necesito
I got a bad boy, must admit it
You got my heart, don’t know how you did it
And I don't care who sees it, babe
I don't wanna hide the way I feel when you're next to me
I love the way (you make me feel)
I love the way
I love the way
I love the way
(I love it, I love it)
No se vivir (tú eres todo para mí) ooo no se vivir (te amo, I love it)
I love the way (you make me feel)
I love the way
(I love it, I love it)
No se vivir (tú eres todo para mí) ooo no se vivir (te amo, I love it)
The way I love you

The way I love you, you, you, yeah, the way
I love the way you make me feel (te amo, te amo)
I love the way you make me feel (te amo) no se vivir
The way I love you"
The Way (Spanglish Version) [feat. J Balvin],Yours Truly,"Ariana Grande:
I love the way you make me feel;
I love it, I love it...
Tu eres todo para mi;
Te amo, I love it...

Balvin:
Yo no soy perro, soy canino
So tratame con cariño
Este amor es como el vino
Entre mas viejo pues mas fino
Aunque a tu madre no le gusten mis tatuajes
Dile que soy yo quien te saca lo salvaje

Ariana:
You give me that kind of something
Want it all the time, need it every day...
On a scale of one to ten, I'm at a hundred;
Never get enough, I can’t stay away...

If you want it, I got it, I got it every day;
You can get whatever you need from me...
Stay by your side, I’ll never leave you
And I ain’t going nowhere, 'cause you're a keeper

So don’t you worry, te necesito

I got a bad boy, I must admit it; (Aye!)
You got my heart, don’t know how you did it... (Aye!)
And I don’t care who sees it, babe;
I don’t wanna hide the way I feel when you're next to me...

I love the way (you make me feel,)
I love the way... (I love it, I love it...)
Baby, no se vivir (eres todo para mi)
Ooh, No se vivir (te amo, I love it...), the way I love you...

Oh, estoy loca
No no no no puedo ya dejarte de pensar
Y tú me llevas hasta el cielo (el cielo)
Con tu modo de hablar
Dame un beso, mi amor, y acariciame
Llevame al cielo, enamorame
Baby, yo quiero (estar contigo)
No te vayas, escucha lo que digo

So don’t you worry, te necesito

I got a bad boy, I must admit it; (Aye!)
You got my heart, don’t know how you did it... (Aye!)
And I don’t care who sees it, babe;
I don’t wanna hide the way I feel when you're next to me...

I love the way... (I love the way you make me feel,)
I love the way... (I love it, I love it...)
Baby, no se vivir (eres todo para mi)
Ooh, No se vivir (te amo, I love it...), the way I love you...

Balvin:
Yo soy diferente
No sigo al resto de la gente
No se si estoy bien loco
O si soy inteligente
Solo que con tu amor
Es mas que suficiente
Y por ti viajaria todo el continente
Baby, ven aqui por favor
Sabes que aqui estoy yo
Ven y no pierdas tiempo
J Balvin, man

Ariana:
So don’t you worry, te necesito

I got a bad boy, I must admit it; (Aye!)
You got my heart, don’t know how you did it... (Aye!)
And I don’t care who sees it, babe;
I don’t wanna hide the way I feel when you're next to me...

I love the way... [I love the way...] (I love the way you make me feel,)
I love the way... [I love the way...] (I love it, I love it...)
Baby, no se vivir (eres todo para mi)
Ooh, No se vivir (te amo, I love it...), the way I love you...

I love the way... (I love the way you make me feel,)
I love the way... (I love it, I love it...)
Baby, no se vivir (eres todo para mi)
Ooh, No se vivir (te amo, I love it...), the way I love you...

The way I love you...
You, you, yeah, the way...

I love the way (J Balvin, man)
Te amo, te amo (Colombia la casa, Latino stand up)
No se vivir
The way I love you"
The Wizard And I,A Very Wicked Halloween ,"When I meet the Wizard
Once I prove my worth
And when I meet the Wizard
What I've waited for since- since birth!

And with all his Wizard wisdom
By my looks, he won't be blinded
Do you think the Wizard is dumb?
Or, like Munchkins, so small-minded?
No!

He'll say to me, ""I see who you truly are -
A girl on whom I can rely!""
And that's how we'll begin
The Wizard and I

Once I'm with the Wizard
My whole life will change
Cause once you're with the Wizard
No one thinks you're strange!

No father is not proud of you
No sister acts ashamed
And all of Oz has to love you
When by the Wizard, you're acclaimed

And this gift or this curse I have inside
Maybe at last, I'll know why
When we are hand in hand
The Wizard and I..

And one day, he'll say to me
""Elphaba, a girl who is so superior
Shouldn't a girl who's so good inside
Have a matching exterior?
And since folks here to an absurd degree
Seem fixated on your verdigris
Would it be all right by you
If I de-greenify you?""

And though of course, that's not important to me
""All right, why not?"" I'll reply
Oh, what a pair we'll be The Wizard and I
Yes, what a pair we'll be The Wizard and-

Unlimited
My future is unlimited
And I've just had a vision
Almost like a prophecy, I know
It sounds truly crazy
And true, the vision's hazy
But I swear, someday there'll be
A celebration throughout Oz
That's all to do with me!

And I'll stand there with the Wizard
Feeling things I've never felt
And though I'd never show it
I'll be so happy, I could melt!

And so it will be
For the rest of my life
And I'll want nothing else till I die

Held in such high esteem
When people see me, they will scream
For half of Oz's favorite team
The Wizard and I"
They Don't Know,Trolls (Original Motion Picture Soundtrack) ,"[Intro]
Mmmm, watch me
Hey, woo
One, two, three
Watch me

[Verse 1]
I walked over, got this sunlight
Ain't got time to listen to any shade, yeah
The wind on my pony, top-down, alright
Ain't got time to let them darken my day, that's right

[Pre-Chorus]
So light the fireworks
Sing like no one's hurt
Dance
It's us against the world

[Chorus]
Oh, they don't know, they don't know, they don't know
They don't know about us
They don't know, they don't know, they don't know
They don't know about what we do
Yeah, it's true
I could have all this, but I'm good if I got you
They don't know, they don't know, they don't know
They don't know about...
Mmmm, listen, watch me

[Verse 2]
You act so lonely
Catch that feeling
So hold onto it for as long as you can
We could run away to only where we know
Boy, I got plans
Hey

[Pre-Chorus]
So light the fireworks
Sing like no one's hurt
Dance
It's us against the world

[Chorus]
Oh, they don't know, they don't know, they don't know
They don't know about us
They don't know, they don't know, they don't know
They don't know about what we do
Yeah, it's true
I could have all this, but I'm good if I got you
They don't know, they don't know, they don't know
They don't know about...

[Bridge]
Hey
They don't know about, they don't know about, about, about us
Light the fireworks
Let it catch fire
We gon' dance, dance 'til it hurts when we in the clubs
We 'bout to let 'em know, know who's your girl
So put your hand in my hand
It's you and me, it's us against the world
Sing it to me one more time
It's you and me, it's us against the world
Sing it to me one more time
It's you and me, it's us against the world
I'm tryna tell you, honey, it's us against the world

[Chorus]
Oh, they don't know, they don't know, they don't know
They don't know about us
They don't know, they don't know, they don't know
They don't know about what we do
Yeah, it's true
I could have all this, but I'm good if I got you
They don't know, they don't know, they don't know
They don't know about...
Mmmm, listen, watch me

[Outro]
(I walked over in the sunlight)
They don't know, they don't know, they don't know
They don't know about us
(Wind in my pony, top-down, alright)
They don't know, they don't know, they don't know
They don't know about what we do
Yeah, it's true, I could have all this, but I'm good if I got you
They don't know, they don't know, they don't know
They don't know about us"
Thinking Bout You,Dangerous Woman,"[Verse 1]
I've been thinkin' bout you
Yeah, I've been missing you
Where the hell are you
Oh, when I need you?
I could still hear your voice
I ain't got no choice
'Cause I'm here all alone
I know I can't wait 'til you get home

[Pre-Chorus]
Oh, I don't have you here with me
But at least I have the memory
I try to make it through the night
But I can't control my mind

[Chorus]
I'm just thinkin' 'bout you
I'm thinkin' 'bout you, I'm thinkin' 'bout you
I'm just thinkin' 'bout you
I'm thinkin' 'bout you, I'm thinkin' 'bout you

[Verse 2]
Got these thoughts in my head
Ain't no way to forget
Got me losing my breath
Nobody got me the way that you did
Had my eyes rolling back
Had me arching my back
Now you love me so good
I wish you would hurry up and come back

[Pre-Chorus]
Oh, I don't have you here with me
But at least I have the memory
I try to make it through the night
But I can't control my mind

[Chorus]
I'm just thinkin' 'bout you
I'm thinkin' 'bout you, I'm thinkin' 'bout you, baby
I'm just thinkin' 'bout you
I'm thinkin' 'bout you, I'm thinkin' 'bout you (I'm thinkin' 'bout you)
I'm just thinkin' 'bout you
I'm thinkin' 'bout you, I'm thinkin' 'bout you (Say you don't, baby, 'bout you)

[Bridge]
Baby, I don't want no one, no one else
So hurry, 'cause I need some, need some, need some help
And I've been waiting patient, patiently
Cause I don't have you here with, here with, here with me
But at least I have the memory

[Chorus]
I'm just thinkin' 'bout you
I'm thinkin' 'bout you, I'm thinkin' 'bout you
I'm just thinkin' 'bout you
I'm thinkin' 'bout you, I'm thinkin' 'bout you
I'm just thinkin' 'bout you
I'm thinkin' 'bout you, I'm thinkin' 'bout you"
Too Close,My Everything,"[Verse 1]
You know what I want
I know what you don't
I should be the one you love on
Boy, you got my mind playing truth or dare
Daring me kiss you right here

[Pre-Chorus]
But we've been friends so long
And it seems so wrong
And everyone can see you're perfect for me
But I just can't let it show

[Chorus]
I've been thinking about you
Boy, it's killing me, and I got to let you know
Baby, tell me, do you feel it like I do?
'Cause we both know what could go down if we got too close
Boy if we get too close
I'm down if we get too close

[Verse 2]
Remember that girl that you used to date?
She with my ex-boyfriend, that's great
So, what would you do?
What would you say if I said I loved you that way?

[Pre-Chorus]
But we've been friends so long
And it seems so wrong
And everyone can see you're perfect for me
But I just can't let it show

[Chorus]
I've been thinking about you
Boy, it's killing me and I got to let you know
Baby, tell me, do you feel it like I do?
'Cause we both know what could go down if we got too close
Boy if we get too close
I'm if we get too close

[Bridge]
All my ladies, all my ladies
All my ladies, all my ladies, make noise
All my ladies, all my ladies
All my ladies, all my ladies, make noise
All my ladies, all my ladies
All my ladies, all my ladies, make noise
All my ladies, all my ladies
All my ladies, all my ladies, make noise

[Break]
But I just can't let it show, oh

[Chorus]
I've been thinking about you
Boy, it's killing me and I got to let you know
Baby, tell me, do you feel it like I do?
'Cause we both know what could go down if we got too close
Boy if we get too close
I'm down if we get too close
Boy if we get too close
I'm down if we get too close"
Touch It,Dangerous Woman,"[Verse 1]
How do I make the phone ring?
Why do I even care?
How are you all around me when you're not really there?
When you're not really there?
How do I feel you on me when you're not on my skin?
Why do you say you want me, then tell me you're not coming in?
Oh yeah, baby, just come on in

[Chorus]
'Cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way
Ain't nobody gonna touch it, touch it, touch it
'Cause every time I see you, I don't wanna behave
I'm tired of being patient, so let's pick up the pace
Take me all the way
Ain't nobody gonna touch it, touch it, touch it

[Verse 2]
How do you know I'm breathing, when I'm holding my breath?
Why don't we face the danger just for the night and forget?
Baby, let's just forget
Remind me why we're taking a break
It's obviously insane
'Cause we both know what we want
So why don't we fall in love?
Baby, let's fall in love

[Chorus]
'Cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way
Ain't nobody gonna touch it, touch it, touch it
'Cause every time I see you, I don't wanna behave
I'm tired of being patient, so let's pick up the pace
Take me all the way
Ain't nobody gonna touch it, touch it, touch it

[Refrain]
Oh, ain't nobody gonna touch it, touch it, touch it
Baby, ain't nobody gonna touch it, touch it, touch it
Baby, ain't nobody gonna touch it, touch it, touch it
Ain't nobody gonna touch it

[Bridge]
Remind me why we're taking a break
It's obviously insane
'Cause we both know what we want
So why don't we fall in love?
Baby, let's be in love

[Chorus]
'Cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way
Ain't nobody gonna touch it, touch it, touch it
'Cause every time I see you, I don't wanna behave
I'm tired of being patient, so let's pick up the pace
Take me all the way
Ain't nobody gonna touch it, touch it, touch it

[Outro]
Baby, ain't nobody gonna
Baby, ain't nobody gonna
Baby, ain't nobody gonna"
Touch It (Final Fantasy Brave Exvius Remix),,"[Intro]
Baby, ain't nobody gonna
Baby, ain't nobody gonna
Baby, ain't nobody gonna

[Verse]
How do I make the phone ring?
Why do I even care?
How are you all around me when you're not really there?
When you're not really there? Hey, yeah
How do I feel you on me when you're not on my skin?
Why do you say you want me, then tell me you're not coming in?
Oh yeah, baby, just come on in

[Chorus]
Oh, 'cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way
Ain't nobody gonna touch it, touch it, touch it
'Cause every time I see you, I don't wanna behave
I'm tired of being patient, so let's pick up the pace
Take me all the way
Ain't nobody gonna touch it, touch it, touch it

[Interlude]
(Touch it, touch it, touch it)
Baby
Whoa, yeah
Oh, ain't nobody gonna touch it, touch it, touch it
Baby, ain't nobody gonna touch it, touch it, touch it
Baby, ain't nobody gonna touch it, touch it, touch it
Oh, ain't nobody gonna touch it, oh no, babe

[Bridge]
Remind me why we're taking a break
It's obviously insane
'Cause we both know what we want
So why don't we fall in love?
Baby, let's be in love

[Chorus]
'Cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way
No, ain't nobody gonna touch it, touch it, touch it
(Ain't nobody gonna)
'Cause every time I see you, I don't wanna behave (Behave)
I'm tired of being patient, so let's pick up the pace
Take me all the way, ooh
Ain't nobody gonna touch it, touch it, touch it"
True Love,Christmas & Chill - EP,"[Verse 1]
On that first day of Christmas
When you gave me all them kisses
Boy, you showed me things
Come hold me please, and never let me go
On that second day of Christmas
Said you felt like something's missing
So you promised me that promise ring to keep 'til we get old, boy

[Pre-Chorus 1]
On that third day of Christmas
We got all in our feelings
Said 'I love you"" and meant it, oh
On the fourth, we committed
Any time, he could get it
He's the real one, I know it

[Chorus]
Look at all the things my true love gave to me
My true love
My true love
You are my true love
Look at all the things my true love gave to me
My true love, my true love
You are my true love
(Ah-ah-ah-ah-ah, oh-oh, ah-ah)
You are my true love

[Verse 2]
On the fifth day of Christmas
You asked me what's on my wishlist
And I told you all I wanted was forever with my boo
After six days in your arms
I got that tattoo on my heart
'Cause I'm your moonlight, you're my star
And nothing's shining more than you, boy

[Pre-Chorus 2]
You completed the vision
Now I feel like I'm living
You're so one in a million, oh
I'm so glad we committed
Any time, he could get it
He's the real one, I know it

[Chorus]
Look at all the things my true love gave to me
My true love
You are my true love
You are my true love
Look at all the things my true love gave to me
My true love, my true love
You are my true love
(Ah-ah-ah-ah-ah, oh-oh, ah-ah)
You are my true love"
